year,month,total_revenue,total_orders,avg_order_value
2016,9,354.75,3,59.125
2016,10,56808.84000000004,308,156.49818181818182
2016,12,19.62,1,19.62
2017,1,137188.48999999996,789,143.65286910994774
2017,2,286280.61999999959,1733,146.73532547411571
2017,3,432048.58999999973,2641,144.01619666666673
2017,4,412422.23999999993,2391,153.65955290611035
2017,5,586190.95000000019,3660,141.72895309477749
2017,6,502963.04000000033,3217,140.37483672899805
2017,7,584971.62000000046,3969,129.44713874751045
2017,8,668204.60000000324,4293,136.09054989816681
2017,9,720398.91000000108,4243,149.12003932933115
2017,10,769312.37000000139,4568,144.55324502066921
2017,11,1179143.770000003,7451,136.08121984997123
2017,12,863547.2299999973,5624,136.89715123652513
2018,1,1107301.8900000034,7220,134.90520102339136
2018,2,986908.9599999995,6694,128.63776850886339
2018,3,1155126.8200000005,7188,140.5776828526227
2018,4,1159698.0400000028,6934,145.41668213166162
2018,5,1149781.8200000024,6853,145.08287949526797
2018,6,1022677.109999995,6160,144.48673495337698
2018,7,1058728.0299999977,6273,149.28483220530168
2018,8,1003308.4699999989,6452,138.42556153421643
2018,9,166.46,1,166.46